小丑
藍波:最後一滴血
黑魔女2
雙子殺手
小小戀歌
弒婚遊戲
鬼船瑪麗號
金翅雀
壞壞萌雪怪
屍樂園2
七個會議
陪你很久很久
108悍將
海獸之子
寂寞裁縫師
狙擊獵殺:救援行動
只有我能喜歡妳
聖人大盜
伊索遊戲
在時間停止的世界相遇
西幽玹歌
阿達一族
魔鬼終結者：黑暗宿命
神機有毛病
冰雪奇緣2
賽道狂人
犯罪現場
安眠醫生
血腥萬聖節
許怨房
暴走曼哈頓
鬼玩伴
決戰中途島
烈火偷情
布魯克林孤兒
反間遊戲
救火奶爸
萬萬沒想到
野蠻迷林
懸案密碼前傳：瓶中信
紫羅蘭永恆花園
重甲機神:神降臨
大餓
峰迴路轉
傻傻愛你,傻傻愛我
黑金叛徒
那個我最親愛的陌生人
愛爾蘭人
陽光普照
樂園
野蠻遊戲3
大說謊家
星際大戰9
霹靂嬌娃
花生醬獵鷹的願望
黑色聖誕節
CATS貓
去年聖誕節
鬼影特攻:以暴制暴
葉問4
特約經紀公司
我的靈魂是愛做的
私人戰爭
捍衛生死線
異裂
真寵
毛骨悚然3
賭命運轉手
魔劍少年
幸福綠皮書
惡魔突襲隊
速成家庭
企鵝公路
驚濤佈局
邊境奇譚
借來的100天
狗奴人生
老人與槍
近敵
為了與你相聚
鎖命危機
寒單
初戀手作中
一池到底
旅貓日記
大象席地而坐
搖滾男孩狂想曲
窒息
玩命貼圖
解碼遊戲
馴龍高手3
艾莉塔:戰鬥天使
樂高玩電影2
愛•滿人間
神探蒲松齡
祝你忌日快樂
嬰魂不散
福爾摩濕與滑生
廉政風雲煙幕
愛．欺
雞不可失
我想有個家
沒有煙硝的愛情
芭蕾少女夢
瘋狂電視台瘋電影
落紅
酷寒殺手
驚奇隊長
活個精彩
我們
小飛象
密弒遊戲
乳•房
情•敵
庫爾斯克號:深海救援
失控危城
法律女王
限時好友
三重邊界
老大人
愛上觸不到的你
恭喜八婆
逆光天后
苦兒流浪記
跳痛先生
他們不再老去
為副不仁
三小一家人
Fate/HFII.
迷途之蝶
喜劇天團：勞萊與哈台
屍降
證人
不恐龍大法官
厄夜追緝令
屋簷下的記憶
G殺事件
吉娃娃羅曼死
遊樂園的奇蹟
不管媽媽多麼討厭我
騙局
非•虛構情事
鬼裔
愛情零極限
溫泉屋小女將
池畔風暴
奇幻遊樂園
禁入墳場
哭泣的女人
復仇者聯盟4
沙贊!
地獄怪客:
血后的崛起
淪落人
侵密室友
異類占領
愛上太空女神
我和我的摔角家庭
我們的青春在台灣
魔力女聲
電競殺手
上流世界
灰影地帶
失控班！
十二個想死的少年
牛津解密
真愛，再出發
女王的柯基
幻術
名偵探皮卡丘
捍衛任務3
阿拉丁
哥吉拉2:怪獸之王
大冒險家
詐騙女神
狗狗的旅程
選情尬翻天
恐怖大媽
阿虎
P風暴
赤手登峰
城市獵人
復活的魯路修
阿松劇場版
感謝上帝
醜娃娃大冒險
非分熟女
出發
柏林我愛你
Bra太子
樂獄
五月天
人生無限公司
紅色密令
親愛的仇人
巴黎A片現場
完美搭檔
極地先鋒
鬼入鏡:靈之鬼跡
疾速求生
馬拉松武士
X戰警:黑鳳凰
火箭人
玩具總動員4
安娜貝爾回家囉
寵物當家2
MIB星際戰警:跨國行動
恰吉
靠譜歌
王
爺爺與喵
懸案密碼：第64號
安娜
AI終結戰
亡命之徒
追龍2:賊王
極惡對決
九龍不敗
我的教練我們的菜
逆轉劫局
金錢性騙局
大叔好神騎
人生最後一次拍賣會
寄生上流
最親愛的陌生兒子
飢慾之膚
別問我是誰
蜘蛛人:離家日
鱷魔
獅子王
從前有個好萊塢
我的青春都是你
名偵探柯南23
電流大戰
人生消極掰
掃毒2:天地對決
城市獵人劇場版
伊剎貝爾
海角上的兄妹
王者天下
出走巴黎
隱形情人
灼人秘密
鬼學怨
上流教慾
震向性教育
駭客任務
仲夏魘
首席指揮家
舞娘辣辣隊
橫越生死線
爸媽死了，我卻不想哭
真犯
玩命關頭：
特別行動
朵拉與失落的黃金城
緝魔
全面攻佔3
第九分局
王的文字
在黑暗中說的鬼故事
炫目之光
航海王：奪寶爭霸戰
你願意
嫁給我老公嗎?
痛苦與榮耀
靈異乍現
憤怒鳥玩電影2
下半場
巴黎之王：闇黑正義
電梯男孩的奇蹟
出發吧!
我的脫單假期
飛翔吧！埼玉
深夜加油站
遇見抓狂衰事
雙面特務
蠟筆小新:
新婚旅行風暴
普羅米亞
偵兇
使徒行者2
乘浪之約
光
最乖巧的殺人犯
絕世名伶
FREE!男子游泳部
懸案判決
牠：第二章
舞孃騙很大
星際救援
瞞天機密
魔法禁界
4x4危機四伏
殺手餐廳
校外打怪教學
大叔之愛電影版
好小男孩
返校
無間行動
匿名的畫作
再見了!小Q
玩命憂步
沉溺
洛瑞&火柴男人
花椒之味
娜迦:
妒火的詛咒
笑笑羊大電影：外星人來了
生日幻境
衝擊真相
唐頓莊園
青春豬頭少年不會夢到懷夢美少女
金手套虐殺事件
地下狂熱趴
我的女友是魔法師
信用詐欺師JP
貓咪知道
但是貓咪不說
我家有個開心農場
天氣之子
